,epoch,test_losses,train_losses,test_accuracies,train_accuracies,train_percentage,synth_percentage,transform,sim_num,category
0,0,0.8374976282939315,0.9705622242356184,0.5796875,0.525,0.8,0.2,minimal,0,minimal_0.8_0.2
1,1,0.3949747530568857,0.6637136908539105,0.85703125,0.709375,0.8,0.2,minimal,0,minimal_0.8_0.2
2,2,0.2070065010874714,0.29995753458533725,0.92265625,0.880078125,0.8,0.2,minimal,0,minimal_0.8_0.2
3,3,0.14490225542977556,0.10961388553355063,0.95625,0.9599609375,0.8,0.2,minimal,0,minimal_0.8_0.2
4,4,0.3158031679199743,0.06161108844633907,0.88984375,0.97734375,0.8,0.2,minimal,0,minimal_0.8_0.2
5,5,0.20291924266482617,0.04752281058458918,0.946875,0.9853515625,0.8,0.2,minimal,0,minimal_0.8_0.2
6,6,0.1723517242555303,0.041707168057092,0.94921875,0.9853515625,0.8,0.2,minimal,0,minimal_0.8_0.2
7,7,0.16613970637585715,0.04137296869516319,0.959375,0.988671875,0.8,0.2,minimal,0,minimal_0.8_0.2
8,8,0.23020183473693018,0.03544859886690295,0.953125,0.9876953125,0.8,0.2,minimal,0,minimal_0.8_0.2
9,9,0.18012339682472384,0.033089328374780146,0.94765625,0.989453125,0.8,0.2,minimal,0,minimal_0.8_0.2
10,0,0.7955788095947355,0.9536346308770589,0.6203125,0.5298828125,0.8,0.2,minimal,1,minimal_0.8_0.2
11,1,0.4127583395835245,0.6681261717145389,0.83984375,0.703515625,0.8,0.2,minimal,1,minimal_0.8_0.2
12,2,0.21950946553297399,0.2890009108105914,0.915625,0.888671875,0.8,0.2,minimal,1,minimal_0.8_0.2
13,3,0.25132206968252147,0.10482670268227387,0.91953125,0.9646484375,0.8,0.2,minimal,1,minimal_0.8_0.2
14,4,0.1589041042721746,0.06101127854947337,0.95078125,0.980859375,0.8,0.2,minimal,1,minimal_0.8_0.2
15,5,0.23248456763817557,0.04550931718436994,0.915625,0.9861328125,0.8,0.2,minimal,1,minimal_0.8_0.2
16,6,0.22128459682009344,0.04083510611202291,0.94375,0.9873046875,0.8,0.2,minimal,1,minimal_0.8_0.2
17,7,0.23162754955467513,0.030697190507633993,0.94296875,0.99140625,0.8,0.2,minimal,1,minimal_0.8_0.2
18,8,0.5222794958027164,0.02710691987312594,0.884375,0.9916015625,0.8,0.2,minimal,1,minimal_0.8_0.2
19,9,0.2339066964042816,0.03586929909572522,0.9484375,0.9904296875,0.8,0.2,minimal,1,minimal_0.8_0.2
20,0,0.8697967922780663,0.9525795697118156,0.57421875,0.546484375,0.8,0.2,minimal,2,minimal_0.8_0.2
21,1,0.423232568797539,0.6303071034126333,0.8265625,0.7302734375,0.8,0.2,minimal,2,minimal_0.8_0.2
22,2,0.28299882644132596,0.2919580261072042,0.89765625,0.8830078125,0.8,0.2,minimal,2,minimal_0.8_0.2
23,3,0.2219209947521108,0.11210201585998156,0.928125,0.9591796875,0.8,0.2,minimal,2,minimal_0.8_0.2
24,4,0.19840023685686675,0.08309360420678616,0.94140625,0.9716796875,0.8,0.2,minimal,2,minimal_0.8_0.2
25,5,0.3488530299602039,0.038901204903196415,0.9203125,0.987890625,0.8,0.2,minimal,2,minimal_0.8_0.2
26,6,0.23778491578172187,0.0262134130137881,0.953125,0.9916015625,0.8,0.2,minimal,2,minimal_0.8_0.2
27,7,0.3004425998548143,0.037523038108668416,0.92890625,0.986328125,0.8,0.2,minimal,2,minimal_0.8_0.2
28,8,0.25068237936722576,0.031132654002866987,0.9390625,0.9904296875,0.8,0.2,minimal,2,minimal_0.8_0.2
29,9,0.28370261928041424,0.023700983948583294,0.9234375,0.9939453125,0.8,0.2,minimal,2,minimal_0.8_0.2
30,0,0.8712984140962362,0.9404205067490693,0.565625,0.5564453125,0.8,0.2,minimal,3,minimal_0.8_0.2
31,1,0.3656914864171995,0.5903802433029341,0.86953125,0.74921875,0.8,0.2,minimal,3,minimal_0.8_0.2
32,2,0.3084468994846247,0.2447243876454877,0.89453125,0.90625,0.8,0.2,minimal,3,minimal_0.8_0.2
33,3,0.17798540561351217,0.09947683856573519,0.94921875,0.9638671875,0.8,0.2,minimal,3,minimal_0.8_0.2
34,4,0.2469071221848722,0.05657960982230039,0.9421875,0.979296875,0.8,0.2,minimal,3,minimal_0.8_0.2
35,5,0.2984609213372238,0.052686868633936235,0.9203125,0.9822265625,0.8,0.2,minimal,3,minimal_0.8_0.2
36,6,0.20510828408301682,0.03961984515519984,0.9546875,0.9888671875,0.8,0.2,minimal,3,minimal_0.8_0.2
37,7,0.2003103969971381,0.034304325735203374,0.94765625,0.9896484375,0.8,0.2,minimal,3,minimal_0.8_0.2
38,8,0.28534758534510185,0.034262655105108314,0.93515625,0.9875,0.8,0.2,minimal,3,minimal_0.8_0.2
39,9,0.2877116313096229,0.023670629303712033,0.94765625,0.9921875,0.8,0.2,minimal,3,minimal_0.8_0.2
40,0,0.8362988409586251,0.9583016555290669,0.60078125,0.5345703125,0.8,0.2,minimal,4,minimal_0.8_0.2
41,1,0.41801976281858516,0.6237686426538858,0.84140625,0.732421875,0.8,0.2,minimal,4,minimal_0.8_0.2
42,2,0.23286643109568103,0.2806524646378875,0.92109375,0.8900390625,0.8,0.2,minimal,4,minimal_0.8_0.2
43,3,0.3982394164647246,0.12119928480111031,0.8890625,0.953125,0.8,0.2,minimal,4,minimal_0.8_0.2
44,4,0.4519822715360672,0.06670399977956246,0.9015625,0.9771484375,0.8,0.2,minimal,4,minimal_0.8_0.2
45,5,0.3216248172790336,0.054499752436856716,0.909375,0.98125,0.8,0.2,minimal,4,minimal_0.8_0.2
46,6,0.24802595967260715,0.035819406170324454,0.93359375,0.9884765625,0.8,0.2,minimal,4,minimal_0.8_0.2
47,7,0.607810098210102,0.03567980978722258,0.88671875,0.9873046875,0.8,0.2,minimal,4,minimal_0.8_0.2
48,8,0.2787577287561235,0.029775479292642605,0.92265625,0.989453125,0.8,0.2,minimal,4,minimal_0.8_0.2
49,9,0.23834202173755242,0.029880626244041843,0.94453125,0.990234375,0.8,0.2,minimal,4,minimal_0.8_0.2
50,0,0.8330384356435389,0.9393767793604638,0.60546875,0.54453125,0.8,0.2,minimal,5,minimal_0.8_0.2
51,1,0.44845878568012265,0.6318226630042773,0.8265625,0.724609375,0.8,0.2,minimal,5,minimal_0.8_0.2
