,epoch,test_losses,train_losses,test_accuracies,train_accuracies,train_percentage,synth_percentage,transform,sim_num,category
0,0,1.0285431027412415,1.0392084190854802,0.48203125,0.4912109375,0.6,0.4,basic,0,basic_0.6_0.4
1,1,1.017355973413214,1.021166703198105,0.4984375,0.5021484375,0.6,0.4,basic,0,basic_0.6_0.4
2,2,1.0621669911779463,1.0150370280956849,0.4984375,0.4986328125,0.6,0.4,basic,0,basic_0.6_0.4
3,3,0.9640444299206138,1.0043812291463836,0.528125,0.5134765625,0.6,0.4,basic,0,basic_0.6_0.4
4,4,1.068585922382772,0.9976155958138406,0.4953125,0.5138671875,0.6,0.4,basic,0,basic_0.6_0.4
5,5,0.9585989487357438,0.9972654635319487,0.5625,0.50859375,0.6,0.4,basic,0,basic_0.6_0.4
6,6,0.915999548137188,0.9920288239140064,0.55078125,0.522265625,0.6,0.4,basic,0,basic_0.6_0.4
7,7,0.9175762244965882,0.9764146633679047,0.53359375,0.531640625,0.6,0.4,basic,0,basic_0.6_0.4
8,8,0.9053734229877591,0.9744720695307478,0.56875,0.52578125,0.6,0.4,basic,0,basic_0.6_0.4
9,9,0.8896465332247316,0.9429836581926793,0.590625,0.54921875,0.6,0.4,basic,0,basic_0.6_0.4
10,0,0.9738597518764436,1.0498014086158947,0.5296875,0.4884765625,0.6,0.4,basic,1,basic_0.6_0.4
11,1,0.9433054527267813,1.0157470025820658,0.5421875,0.49609375,0.6,0.4,basic,1,basic_0.6_0.4
12,2,0.9794585599564016,1.0176819793647156,0.4625,0.49921875,0.6,0.4,basic,1,basic_0.6_0.4
13,3,0.9359776104334742,1.0176408101804555,0.52734375,0.4955078125,0.6,0.4,basic,1,basic_0.6_0.4
14,4,0.937822995427996,1.0079425510484725,0.53515625,0.509765625,0.6,0.4,basic,1,basic_0.6_0.4
15,5,0.935454046074301,1.0029775064904243,0.52109375,0.50703125,0.6,0.4,basic,1,basic_0.6_0.4
16,6,0.9367289151530713,0.9894559604115785,0.4953125,0.5181640625,0.6,0.4,basic,1,basic_0.6_0.4
17,7,0.9063724755309522,0.9828384741675109,0.55390625,0.5109375,0.6,0.4,basic,1,basic_0.6_0.4
18,8,0.8980831337161362,0.9758867321070284,0.546875,0.5255859375,0.6,0.4,basic,1,basic_0.6_0.4
19,9,0.9044983963947744,0.9621870656032115,0.54375,0.5234375,0.6,0.4,basic,1,basic_0.6_0.4
20,0,0.9726466722786427,1.059752180823125,0.53125,0.4953125,0.6,0.4,basic,2,basic_0.6_0.4
21,1,1.013202284835279,1.0544364494504408,0.5125,0.4916015625,0.6,0.4,basic,2,basic_0.6_0.4
22,2,0.954479016456753,1.026157247996889,0.5265625,0.5080078125,0.6,0.4,basic,2,basic_0.6_0.4
23,3,0.9602466302458197,1.0117861116304994,0.53359375,0.5154296875,0.6,0.4,basic,2,basic_0.6_0.4
24,4,0.9526060524396598,1.0104103811783716,0.52734375,0.5146484375,0.6,0.4,basic,2,basic_0.6_0.4
25,5,0.9839696778915823,0.9952201744774356,0.50625,0.5248046875,0.6,0.4,basic,2,basic_0.6_0.4
26,6,0.9703847296768799,0.9915424955543131,0.5234375,0.522265625,0.6,0.4,basic,2,basic_0.6_0.4
27,7,0.9257232829928398,0.9864753755740822,0.5484375,0.5298828125,0.6,0.4,basic,2,basic_0.6_0.4
28,8,0.9429319246206432,0.9822121858131141,0.528125,0.521484375,0.6,0.4,basic,2,basic_0.6_0.4
29,9,0.9165624050423503,0.976421347912401,0.55390625,0.5267578125,0.6,0.4,basic,2,basic_0.6_0.4
30,0,0.9679827441461384,1.053312003146857,0.5328125,0.4919921875,0.6,0.4,basic,3,basic_0.6_0.4
31,1,0.9831722108647227,1.024883813597262,0.4984375,0.50390625,0.6,0.4,basic,3,basic_0.6_0.4
32,2,1.0361046567559242,1.010423470940441,0.515625,0.5095703125,0.6,0.4,basic,3,basic_0.6_0.4
