,epoch,test_losses,train_losses,test_accuracies,train_accuracies,train_synth_ratio,transform,sim_num,category
0,0,1.1418817140161992,1.197391249006614,0.4953125,0.453857421875,NonDemented0.8_0.0__VeryMildDemented0.8_0.0__MildDemented0.8_0.0__ModerateDemented0.8_0.0,auto,0,auto_NonDemented0.8_0.0__VeryMildDemented0.8_0.0__MildDemented0.8_0.0__ModerateDemented0.8_0.0
1,1,1.082304947823286,1.0853476412594318,0.4953125,0.469970703125,NonDemented0.8_0.0__VeryMildDemented0.8_0.0__MildDemented0.8_0.0__ModerateDemented0.8_0.0,auto,0,auto_NonDemented0.8_0.0__VeryMildDemented0.8_0.0__MildDemented0.8_0.0__ModerateDemented0.8_0.0
2,2,1.0902058847248555,1.0607977043837309,0.49453125,0.474609375,NonDemented0.8_0.0__VeryMildDemented0.8_0.0__MildDemented0.8_0.0__ModerateDemented0.8_0.0,auto,0,auto_NonDemented0.8_0.0__VeryMildDemented0.8_0.0__MildDemented0.8_0.0__ModerateDemented0.8_0.0
3,3,1.0368982814252377,1.0470416436437517,0.4953125,0.491943359375,NonDemented0.8_0.0__VeryMildDemented0.8_0.0__MildDemented0.8_0.0__ModerateDemented0.8_0.0,auto,0,auto_NonDemented0.8_0.0__VeryMildDemented0.8_0.0__MildDemented0.8_0.0__ModerateDemented0.8_0.0
4,4,1.0388103626668452,1.0480868103913963,0.4953125,0.49755859375,NonDemented0.8_0.0__VeryMildDemented0.8_0.0__MildDemented0.8_0.0__ModerateDemented0.8_0.0,auto,0,auto_NonDemented0.8_0.0__VeryMildDemented0.8_0.0__MildDemented0.8_0.0__ModerateDemented0.8_0.0
5,5,1.0384132221341134,1.0427842233330011,0.4953125,0.501220703125,NonDemented0.8_0.0__VeryMildDemented0.8_0.0__MildDemented0.8_0.0__ModerateDemented0.8_0.0,auto,0,auto_NonDemented0.8_0.0__VeryMildDemented0.8_0.0__MildDemented0.8_0.0__ModerateDemented0.8_0.0
6,6,1.0392884321510791,1.0370056084357202,0.4953125,0.49951171875,NonDemented0.8_0.0__VeryMildDemented0.8_0.0__MildDemented0.8_0.0__ModerateDemented0.8_0.0,auto,0,auto_NonDemented0.8_0.0__VeryMildDemented0.8_0.0__MildDemented0.8_0.0__ModerateDemented0.8_0.0
7,7,1.0444346070289612,1.0408323716837913,0.4953125,0.489501953125,NonDemented0.8_0.0__VeryMildDemented0.8_0.0__MildDemented0.8_0.0__ModerateDemented0.8_0.0,auto,0,auto_NonDemented0.8_0.0__VeryMildDemented0.8_0.0__MildDemented0.8_0.0__ModerateDemented0.8_0.0
8,8,1.0407459869980813,1.0412682530004531,0.4953125,0.498046875,NonDemented0.8_0.0__VeryMildDemented0.8_0.0__MildDemented0.8_0.0__ModerateDemented0.8_0.0,auto,0,auto_NonDemented0.8_0.0__VeryMildDemented0.8_0.0__MildDemented0.8_0.0__ModerateDemented0.8_0.0
9,9,1.0390662603080272,1.0391370169818401,0.4953125,0.501708984375,NonDemented0.8_0.0__VeryMildDemented0.8_0.0__MildDemented0.8_0.0__ModerateDemented0.8_0.0,auto,0,auto_NonDemented0.8_0.0__VeryMildDemented0.8_0.0__MildDemented0.8_0.0__ModerateDemented0.8_0.0
10,10,1.0381537407636643,1.0420965142548084,0.4953125,0.48876953125,NonDemented0.8_0.0__VeryMildDemented0.8_0.0__MildDemented0.8_0.0__ModerateDemented0.8_0.0,auto,0,auto_NonDemented0.8_0.0__VeryMildDemented0.8_0.0__MildDemented0.8_0.0__ModerateDemented0.8_0.0
11,11,1.0691044561564922,1.0400267250370234,0.4953125,0.49609375,NonDemented0.8_0.0__VeryMildDemented0.8_0.0__MildDemented0.8_0.0__ModerateDemented0.8_0.0,auto,0,auto_NonDemented0.8_0.0__VeryMildDemented0.8_0.0__MildDemented0.8_0.0__ModerateDemented0.8_0.0
12,12,1.0459694214165212,1.0417683408595622,0.4953125,0.5,NonDemented0.8_0.0__VeryMildDemented0.8_0.0__MildDemented0.8_0.0__ModerateDemented0.8_0.0,auto,0,auto_NonDemented0.8_0.0__VeryMildDemented0.8_0.0__MildDemented0.8_0.0__ModerateDemented0.8_0.0
13,13,1.044867216795683,1.0401391424238682,0.4953125,0.492431640625,NonDemented0.8_0.0__VeryMildDemented0.8_0.0__MildDemented0.8_0.0__ModerateDemented0.8_0.0,auto,0,auto_NonDemented0.8_0.0__VeryMildDemented0.8_0.0__MildDemented0.8_0.0__ModerateDemented0.8_0.0
14,14,1.0403139367699623,1.0412849951535463,0.4953125,0.498291015625,NonDemented0.8_0.0__VeryMildDemented0.8_0.0__MildDemented0.8_0.0__ModerateDemented0.8_0.0,auto,0,auto_NonDemented0.8_0.0__VeryMildDemented0.8_0.0__MildDemented0.8_0.0__ModerateDemented0.8_0.0
15,0,1.1532105803489685,1.1861095372587442,0.4953125,0.451171875,NonDemented0.8_0.0__VeryMildDemented0.8_0.0__MildDemented0.8_0.0__ModerateDemented0.8_0.0,auto,1,auto_NonDemented0.8_0.0__VeryMildDemented0.8_0.0__MildDemented0.8_0.0__ModerateDemented0.8_0.0
16,1,1.0861657954752446,1.0894814990460873,0.4953125,0.4453125,NonDemented0.8_0.0__VeryMildDemented0.8_0.0__MildDemented0.8_0.0__ModerateDemented0.8_0.0,auto,1,auto_NonDemented0.8_0.0__VeryMildDemented0.8_0.0__MildDemented0.8_0.0__ModerateDemented0.8_0.0
17,2,1.0519472278654576,1.057996479794383,0.36015625,0.48388671875,NonDemented0.8_0.0__VeryMildDemented0.8_0.0__MildDemented0.8_0.0__ModerateDemented0.8_0.0,auto,1,auto_NonDemented0.8_0.0__VeryMildDemented0.8_0.0__MildDemented0.8_0.0__ModerateDemented0.8_0.0
18,3,1.043935725837946,1.0490053980611265,0.4953125,0.481201171875,NonDemented0.8_0.0__VeryMildDemented0.8_0.0__MildDemented0.8_0.0__ModerateDemented0.8_0.0,auto,1,auto_NonDemented0.8_0.0__VeryMildDemented0.8_0.0__MildDemented0.8_0.0__ModerateDemented0.8_0.0
19,4,1.030773837864399,1.0405858571175486,0.4953125,0.493408203125,NonDemented0.8_0.0__VeryMildDemented0.8_0.0__MildDemented0.8_0.0__ModerateDemented0.8_0.0,auto,1,auto_NonDemented0.8_0.0__VeryMildDemented0.8_0.0__MildDemented0.8_0.0__ModerateDemented0.8_0.0
20,5,1.0493035830557347,1.041106478543952,0.4953125,0.4990234375,NonDemented0.8_0.0__VeryMildDemented0.8_0.0__MildDemented0.8_0.0__ModerateDemented0.8_0.0,auto,1,auto_NonDemented0.8_0.0__VeryMildDemented0.8_0.0__MildDemented0.8_0.0__ModerateDemented0.8_0.0
21,6,1.0461116150021552,1.0408378541469574,0.4953125,0.5,NonDemented0.8_0.0__VeryMildDemented0.8_0.0__MildDemented0.8_0.0__ModerateDemented0.8_0.0,auto,1,auto_NonDemented0.8_0.0__VeryMildDemented0.8_0.0__MildDemented0.8_0.0__ModerateDemented0.8_0.0
22,7,1.0597707450389862,1.0403093905188143,0.4953125,0.49853515625,NonDemented0.8_0.0__VeryMildDemented0.8_0.0__MildDemented0.8_0.0__ModerateDemented0.8_0.0,auto,1,auto_NonDemented0.8_0.0__VeryMildDemented0.8_0.0__MildDemented0.8_0.0__ModerateDemented0.8_0.0
23,8,1.0865637324750423,1.0395867095794529,0.4953125,0.4970703125,NonDemented0.8_0.0__VeryMildDemented0.8_0.0__MildDemented0.8_0.0__ModerateDemented0.8_0.0,auto,1,auto_NonDemented0.8_0.0__VeryMildDemented0.8_0.0__MildDemented0.8_0.0__ModerateDemented0.8_0.0
24,9,1.0474518179893493,1.042533888015896,0.49765625,0.501220703125,NonDemented0.8_0.0__VeryMildDemented0.8_0.0__MildDemented0.8_0.0__ModerateDemented0.8_0.0,auto,1,auto_NonDemented0.8_0.0__VeryMildDemented0.8_0.0__MildDemented0.8_0.0__ModerateDemented0.8_0.0
25,10,1.0817279554903507,1.0365239491220564,0.3578125,0.4970703125,NonDemented0.8_0.0__VeryMildDemented0.8_0.0__MildDemented0.8_0.0__ModerateDemented0.8_0.0,auto,1,auto_NonDemented0.8_0.0__VeryMildDemented0.8_0.0__MildDemented0.8_0.0__ModerateDemented0.8_0.0
26,11,1.0496335379779338,1.0397550493944436,0.4953125,0.498779296875,NonDemented0.8_0.0__VeryMildDemented0.8_0.0__MildDemented0.8_0.0__ModerateDemented0.8_0.0,auto,1,auto_NonDemented0.8_0.0__VeryMildDemented0.8_0.0__MildDemented0.8_0.0__ModerateDemented0.8_0.0
27,12,1.0512242078781129,1.0416007752064615,0.4953125,0.49951171875,NonDemented0.8_0.0__VeryMildDemented0.8_0.0__MildDemented0.8_0.0__ModerateDemented0.8_0.0,auto,1,auto_NonDemented0.8_0.0__VeryMildDemented0.8_0.0__MildDemented0.8_0.0__ModerateDemented0.8_0.0
28,13,1.047033429145813,1.0398876091931015,0.4953125,0.499755859375,NonDemented0.8_0.0__VeryMildDemented0.8_0.0__MildDemented0.8_0.0__ModerateDemented0.8_0.0,auto,1,auto_NonDemented0.8_0.0__VeryMildDemented0.8_0.0__MildDemented0.8_0.0__ModerateDemented0.8_0.0
29,14,1.0480813428759574,1.0419074888341129,0.4953125,0.49658203125,NonDemented0.8_0.0__VeryMildDemented0.8_0.0__MildDemented0.8_0.0__ModerateDemented0.8_0.0,auto,1,auto_NonDemented0.8_0.0__VeryMildDemented0.8_0.0__MildDemented0.8_0.0__ModerateDemented0.8_0.0
30,0,1.1299579486250877,1.2870471603237092,0.4953125,0.45751953125,NonDemented0.8_0.0__VeryMildDemented0.8_0.0__MildDemented0.8_0.0__ModerateDemented0.8_0.0,auto,2,auto_NonDemented0.8_0.0__VeryMildDemented0.8_0.0__MildDemented0.8_0.0__ModerateDemented0.8_0.0
31,1,1.123765590041876,1.1063601337373257,0.35859375,0.44970703125,NonDemented0.8_0.0__VeryMildDemented0.8_0.0__MildDemented0.8_0.0__ModerateDemented0.8_0.0,auto,2,auto_NonDemented0.8_0.0__VeryMildDemented0.8_0.0__MildDemented0.8_0.0__ModerateDemented0.8_0.0
32,2,1.1284148581326008,1.080833647865802,0.4953125,0.4609375,NonDemented0.8_0.0__VeryMildDemented0.8_0.0__MildDemented0.8_0.0__ModerateDemented0.8_0.0,auto,2,auto_NonDemented0.8_0.0__VeryMildDemented0.8_0.0__MildDemented0.8_0.0__ModerateDemented0.8_0.0
33,3,1.1099076010286808,1.0642225365154445,0.4953125,0.465087890625,NonDemented0.8_0.0__VeryMildDemented0.8_0.0__MildDemented0.8_0.0__ModerateDemented0.8_0.0,auto,2,auto_NonDemented0.8_0.0__VeryMildDemented0.8_0.0__MildDemented0.8_0.0__ModerateDemented0.8_0.0
34,4,1.0506688736379146,1.0545940685551614,0.4953125,0.48828125,NonDemented0.8_0.0__VeryMildDemented0.8_0.0__MildDemented0.8_0.0__ModerateDemented0.8_0.0,auto,2,auto_NonDemented0.8_0.0__VeryMildDemented0.8_0.0__MildDemented0.8_0.0__ModerateDemented0.8_0.0
35,5,1.0624914050102234,1.0562764895148575,0.4953125,0.47998046875,NonDemented0.8_0.0__VeryMildDemented0.8_0.0__MildDemented0.8_0.0__ModerateDemented0.8_0.0,auto,2,auto_NonDemented0.8_0.0__VeryMildDemented0.8_0.0__MildDemented0.8_0.0__ModerateDemented0.8_0.0
36,6,1.0532320596277713,1.0495219733566046,0.4953125,0.484130859375,NonDemented0.8_0.0__VeryMildDemented0.8_0.0__MildDemented0.8_0.0__ModerateDemented0.8_0.0,auto,2,auto_NonDemented0.8_0.0__VeryMildDemented0.8_0.0__MildDemented0.8_0.0__ModerateDemented0.8_0.0
37,7,1.02821279540658,1.0446925899013877,0.4953125,0.489013671875,NonDemented0.8_0.0__VeryMildDemented0.8_0.0__MildDemented0.8_0.0__ModerateDemented0.8_0.0,auto,2,auto_NonDemented0.8_0.0__VeryMildDemented0.8_0.0__MildDemented0.8_0.0__ModerateDemented0.8_0.0
38,8,1.05052285566926,1.043384816031903,0.4953125,0.492431640625,NonDemented0.8_0.0__VeryMildDemented0.8_0.0__MildDemented0.8_0.0__ModerateDemented0.8_0.0,auto,2,auto_NonDemented0.8_0.0__VeryMildDemented0.8_0.0__MildDemented0.8_0.0__ModerateDemented0.8_0.0
39,9,1.0421324983239173,1.042551047867164,0.4953125,0.484619140625,NonDemented0.8_0.0__VeryMildDemented0.8_0.0__MildDemented0.8_0.0__ModerateDemented0.8_0.0,auto,2,auto_NonDemented0.8_0.0__VeryMildDemented0.8_0.0__MildDemented0.8_0.0__ModerateDemented0.8_0.0
40,10,1.045769564807415,1.0388040866237134,0.49453125,0.495361328125,NonDemented0.8_0.0__VeryMildDemented0.8_0.0__MildDemented0.8_0.0__ModerateDemented0.8_0.0,auto,2,auto_NonDemented0.8_0.0__VeryMildDemented0.8_0.0__MildDemented0.8_0.0__ModerateDemented0.8_0.0
